,Year,City,Sport,Discipline,NOC,Event,Event gender,Medal
158,1936,Garmisch-Partenkirchen,Skating,Speed skating,NOR,5000m,M,Gold
159,1936,Garmisch-Partenkirchen,Skating,Speed skating,NOR,500m,M,Gold
160,1936,Garmisch-Partenkirchen,Skating,Speed skating,NOR,500m,M,Silver
161,1936,Garmisch-Partenkirchen,Skiing,Alpine Skiing,NOR,alpine combined,W,Bronze
162,1936,Garmisch-Partenkirchen,Skiing,Cross Country S,NOR,18km,M,Silver
163,1936,Garmisch-Partenkirchen,Skiing,Cross Country S,NOR,4x10km relay,M,Silver
164,1936,Garmisch-Partenkirchen,Skiing,Nordic Combined,NOR,individual,M,Bronze
165,1936,Garmisch-Partenkirchen,Skiing,Nordic Combined,NOR,individual,M,Gold
166,1936,Garmisch-Partenkirchen,Skiing,Nordic Combined,NOR,individual,M,Silver
167,1936,Garmisch-Partenkirchen,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Bronze
168,1936,Garmisch-Partenkirchen,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Gold
169,1936,Garmisch-Partenkirchen,Bobsleigh,Bobsleigh,SUI,four-man,M,Gold
170,1936,Garmisch-Partenkirchen,Bobsleigh,Bobsleigh,SUI,four-man,M,Silver
171,1936,Garmisch-Partenkirchen,Bobsleigh,Bobsleigh,SUI,two-man,M,Silver
172,1936,Garmisch-Partenkirchen,Skating,Figure skating,SWE,individual,W,Bronze
173,1936,Garmisch-Partenkirchen,Skiing,Cross Country S,SWE,18km,M,Gold
174,1936,Garmisch-Partenkirchen,Skiing,Cross Country S,SWE,4x10km relay,M,Bronze
175,1936,Garmisch-Partenkirchen,Skiing,Cross Country S,SWE,50km,M,Bronze
176,1936,Garmisch-Partenkirchen,Skiing,Cross Country S,SWE,50km,M,Gold
177,1936,Garmisch-Partenkirchen,Skiing,Cross Country S,SWE,50km,M,Silver
178,1936,Garmisch-Partenkirchen,Skiing,Ski Jumping,SWE,K90 individual (70m),M,Silver
179,1936,Garmisch-Partenkirchen,Bobsleigh,Bobsleigh,USA,two-man,M,Bronze
180,1936,Garmisch-Partenkirchen,Bobsleigh,Bobsleigh,USA,two-man,M,Gold
181,1936,Garmisch-Partenkirchen,Ice Hockey,Ice Hockey,USA,ice hockey,M,Bronze
182,1936,Garmisch-Partenkirchen,Skating,Speed skating,USA,500m,M,Bronze
183,1948,St. Moritz,Skating,Figure skating,AUT,individual,M,Bronze
184,1948,St. Moritz,Skating,Figure skating,AUT,individual,W,Silver
185,1948,St. Moritz,Skiing,Alpine Skiing,AUT,alpine combined,W,Bronze
186,1948,St. Moritz,Skiing,Alpine Skiing,AUT,alpine combined,W,Gold
187,1948,St. Moritz,Skiing,Alpine Skiing,AUT,downhill,M,Silver
188,1948,St. Moritz,Skiing,Alpine Skiing,AUT,downhill,W,Bronze
189,1948,St. Moritz,Skiing,Alpine Skiing,AUT,downhill,W,Silver
190,1948,St. Moritz,Skiing,Alpine Skiing,AUT,slalom,W,Bronze
191,1948,St. Moritz,Bobsleigh,Bobsleigh,BEL,four-man,M,Silver
192,1948,St. Moritz,Skating,Figure skating,BEL,pairs,X,Gold
193,1948,St. Moritz,Ice Hockey,Ice Hockey,CAN,ice hockey,M,Gold
194,1948,St. Moritz,Skating,Figure skating,CAN,individual,W,Gold
195,1948,St. Moritz,Skating,Figure skating,CAN,pairs,X,Bronze
196,1948,St. Moritz,Skating,Speed skating,FIN,10000m,M,Bronze
197,1948,St. Moritz,Skating,Speed skating,FIN,10000m,M,Silver
198,1948,St. Moritz,Skiing,Cross Country S,FIN,4x10km relay,M,Silver
199,1948,St. Moritz,Skiing,Cross Country S,FIN,50km,M,Bronze
200,1948,St. Moritz,Skiing,Nordic Combined,FIN,individual,M,Gold
201,1948,St. Moritz,Skiing,Nordic Combined,FIN,individual,M,Silver
202,1948,St. Moritz,Skiing,Alpine Skiing,FRA,alpine combined,M,Bronze
203,1948,St. Moritz,Skiing,Alpine Skiing,FRA,alpine combined,M,Gold
204,1948,St. Moritz,Skiing,Alpine Skiing,FRA,downhill,M,Gold
205,1948,St. Moritz,Skiing,Alpine Skiing,FRA,slalom,M,Bronze
206,1948,St. Moritz,Skiing,Alpine Skiing,FRA,slalom,M,Silver
207,1948,St. Moritz,Bobsleigh,Skeleton,GBR,individual,M,Bronze
208,1948,St. Moritz,Skating,Figure skating,GBR,individual,W,Bronze
209,1948,St. Moritz,Skating,Figure skating,HUN,pairs,X,Silver
210,1948,St. Moritz,Bobsleigh,Skeleton,ITA,individual,M,Gold
211,1948,St. Moritz,Skating,Speed skating,NOR,1500m,M,Bronze
212,1948,St. Moritz,Skating,Speed skating,NOR,1500m,M,Gold
213,1948,St. Moritz,Skating,Speed skating,NOR,5000m,M,Gold
214,1948,St. Moritz,Skating,Speed skating,NOR,5000m,M,Silver
215,1948,St. Moritz,Skating,Speed skating,NOR,500m,M,Gold
216,1948,St. Moritz,Skating,Speed skating,NOR,500m,M,Silver
217,1948,St. Moritz,Skiing,Cross Country S,NOR,4x10km relay,M,Bronze
218,1948,St. Moritz,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Bronze
219,1948,St. Moritz,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Gold
220,1948,St. Moritz,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Silver
221,1948,St. Moritz,Bobsleigh,Bobsleigh,SUI,two-man,M,Gold
222,1948,St. Moritz,Bobsleigh,Bobsleigh,SUI,two-man,M,Silver
223,1948,St. Moritz,Ice Hockey,Ice Hockey,SUI,ice hockey,M,Bronze
224,1948,St. Moritz,Skating,Figure skating,SUI,individual,M,Silver
225,1948,St. Moritz,Skiing,Alpine Skiing,SUI,alpine combined,M,Silver
226,1948,St. Moritz,Skiing,Alpine Skiing,SUI,downhill,M,Bronze
227,1948,St. Moritz,Skiing,Alpine Skiing,SUI,downhill,M,Bronze
228,1948,St. Moritz,Skiing,Alpine Skiing,SUI,downhill,W,Gold
229,1948,St. Moritz,Skiing,Alpine Skiing,SUI,slalom,M,Gold
230,1948,St. Moritz,Skiing,Alpine Skiing,SUI,slalom,W,Silver
231,1948,St. Moritz,Skating,Speed skating,SWE,10000m,M,Gold
